Regulator,Target,Sign,Model,Classification,Confidence rank,Constraint
PIP3,AKT,positive,"TGEN, TM, TT, Z17, Z21",direct,1,regulates
PIP3,HRAS,positive,"TM, TT",indirect,2,
PIP3,PDK1_pm,positive,"TGEN, TM, TT, Z17, Z21",direct,1,necessary
PIP3,PIP3_2,positive,"Z17, Z21",,0,necessary
PIP3,RAF1,positive,"Z17, Z21",indirect,2,
PIP3,RAF1_2,positive,"Z17, Z21",indirect,2,
PIP3,RAS,positive,"TM, TT",assumption,4,
PIP3,RAS_2,positive,"TM, TT",assumption,4,
PIP3,RAS_3,positive,"TM, TT",assumption,4,
PIP3,mTORC2_pm,positive,"TGEN, TM, TT, Z17, Z21",direct,1,necessary
PIP3_2,AKT,positive,"TGEN, TM, TT, Z17, Z21",direct,1,
PIP3_2,HRAS,positive,"TM, TT",indirect,2,
PIP3_2,PDK1_pm,positive,"TGEN, TM, TT, Z17, Z21",direct,1,
PIP3_2,RAF1,positive,"Z17, Z21",indirect,2,
PIP3_2,RAF1_2,positive,"Z17, Z21",indirect,2,
PIP3_2,RAS,positive,"TM, TT",assumption,4,
PIP3_2,RAS_2,positive,"TM, TT",assumption,4,
PIP3_2,RAS_3,positive,"TM, TT",assumption,4,
PIP3_2,mTORC2_pm,positive,"TGEN, TM, TT, Z17, Z21",direct,1,
PLCg,PKCa,positive,"BS, HS, SS",direct in the network sense,1,regulates
PRAS40,PRAS40,positive,"BL, HL, SL",indirect,2,
PRAS40,S6K,negative,"BL, HL, SL",indirect,2,
PRAS40,mTORC1,negative,"Z17, Z21",direct,1,regulates
PRKAA2,TSC2,positive,"TGEN, TM, TT",direct,1,regulates
PRKACA,CASP9,negative,"TGEN, TM",direct,1,regulates
PRKACA,NEDD4L,negative,"TGEN, TM",direct,1,regulates
PRKACA,PRKAA2,negative,"TGEN, TM",assumption,4,
PRKACA,SRC,positive,"TGEN, TM, TT",assumption,4,
PTEN,AKT,negative,"BL, HL, SL",indirect,2,
PTEN,CREB1,negative,"TGEN, TM",direct,1,regulates
PTEN,HER3,negative,BL,indirect,2,
PTEN,HER3_2,negative,BL,indirect,2,
PTEN,PIP3,negative,"TGEN, TM, TT, Z17, Z21",direct,1,regulates
PTEN,PIP3_2,negative,"TGEN, TM, TT, Z17",direct,1,
PTEN,PTEN,positive,"BL, HL, SL",indirect,2,
PTEN,PTEN_2,positive,"BL, HL, SL, Z21",,0,necessary
PTEN,p53,positive,"BL, SL",direct,1,regulates
PTEN_2,AKT,negative,"BL, HL, SL",indirect,2,
PTEN_2,CREB1,negative,"TGEN, TM",direct,1,
PTEN_2,HER3,negative,BL,indirect,2,
PTEN_2,HER3_2,negative,BL,indirect,2,
PTEN_2,PIP3,negative,"TGEN, TM, TT, Z17, Z21",direct,1,
PTEN_2,PIP3_2,negative,"TGEN, TM, TT, Z17, Z21",direct,1,
PTEN_2,PTEN_2,positive,"BL, HL, SL",indirect,2,
PTEN_2,p53,positive,"BL, SL",direct,1,
PTEN_T,PTEN,positive,Z21,direct,1,necessary
PTEN_T,PTEN_T_2,positive,Z21,,0,necessary
PTEN_T_2,PTEN_2,positive,Z21,direct,1,
Palbociclib,CDK46,negative,"Z17, Z21",direct,1,regulates
RAC1,MAPK8,positive,"TGEN, TM, TT",indirect,2,
RAC1,PAK1,positive,TT,direct,1,regulates
RAC1,PAK2,positive,"TGEN, TM, TT",direct,1,regulates
RAF1,ERK,positive,"BL, HL, SL",indirect,2,
RAF1,ERK_2,positive,"BL, HL, SL",indirect,2,
RAF1,MEK,positive,"TGEN, TM, TT",direct,1,necessary
RAF1,MEK_2,positive,"TGEN, TM, TT",direct,1,
RAF1,RAF1_2,positive,"BL, HL, SL, Z17, Z21",,0,necessary
RAF1_2,ERK,positive,"BL, HL, SL",indirect,2,
RAF1_2,ERK_2,positive,"BL, HL, SL",indirect,2,
RAF1_2,MEK,positive,"TGEN, TM, TT",direct,1,
RAF1_2,MEK_2,positive,"TGEN, TM, TT, Z17, Z21",direct,1,
RAS,PI3K,positive,"TGEN, TM, Z17, Z21",direct,1,regulates
RAS,PI3K_2,positive,"TGEN, TM",direct,1,
RAS,RAF1,positive,"TGEN, TM, TT, Z17, Z21",direct,1,regulates
RAS,RAF1_2,positive,"TGEN, TM, TT",direct,1,
RAS,RAS_2,positive,"Z17, Z21",,0,necessary
RAS_2,PI3K,positive,"TGEN, TM, Z17, Z21",direct,1,
RAS_2,PI3K_2,positive,"TGEN, TM",direct,1,
RAS_2,RAF1,positive,"TGEN, TM, TT, Z17, Z21",direct,1,
RAS_2,RAF1_2,positive,"TGEN, TM, TT, Z17, Z21",direct,1,
RAS_2,RAS_3,positive,"Z17, Z21",,0,necessary
RAS_3,PI3K,positive,"TGEN, TM, Z17, Z21",direct,1,
RAS_3,PI3K_2,positive,"TGEN, TM",direct,1,
RAS_3,RAF1,positive,"TGEN, TM, TT, Z17, Z21",direct,1,
RAS_3,RAF1_2,positive,"TGEN, TM, TT, Z17, Z21",direct,1,
RB,ABL1,negative,TM,direct,1,regulates
RB,E2F,negative,"TGEN, TM, TT",direct,1,regulates
RB,E2F_2,negative,"TGEN, TM, TT",direct,1,
RB,E2F_3,negative,"TGEN, TM, TT",direct,1,
RB,TSC2,positive,HL,assumption,4,
RB,p53,positive,"BL, HL, SL",indirect,2,
RB,pRB,negative,merge,,0,regulates
RHEB,mTORC1,positive,"TGEN, TM, TT",direct,1,regulates
RPS6,CyclinD,positive,BL,indirect,2,
RPS6,CyclinD_2,positive,BL,indirect,2,
RPS6,NFKB,positive,SL,correlation,3,
RPS6,RAF1,positive,SL,assumption,4,
RPS6,RAF1_2,positive,SL,assumption,4,
Rb_T,pRB,negative,Z21,assumption,4,
Rb_T,pRB_2,negative,Z21,assumption,4,
Rb_T,pRB_3,negative,Z21,assumption,4,
S63845,MCL1,negative,Z21,direct,1,regulates
S6K,CyclinB1,positive,SL,assumption,4,
S6K,CyclinD,positive,HL,indirect,2,
S6K,CyclinD_2,positive,HL,indirect,2,
S6K,IRS1,negative,"TGEN, TM, TT",direct,1,regulates
S6K,NEDD4L,negative,TGEN,assumption,4,
S6K,RPS6,positive,"BL, HL, SL",direct,1,regulates
S6K,Translation,positive,"Z17, Z21",indirect,2,
S6K,mTORC2_pm,negative,"TGEN, TM, TT",indirect,2,
SGK1,CREB1,positive,TT,direct,1,regulates
SGK1,FOXO1,negative,"TGEN, TM, TT",direct,1,regulates
SGK1,FOXO3,negative,"Z17, Z21",direct,1,regulates
SGK1,NEDD4L,negative,"TGEN, TM, TT",direct,1,regulates
SGK1,TSC2,negative,"Z17, Z21",direct,1,regulates
SGK1_T,SGK1,positive,"Z17, Z21",direct,1,necessary
SOS1,HRAS,positive,"TGEN, TM, TT",direct,1,regulates
SOS1,RAS,positive,"TGEN, TM, TT",direct,1,regulates
SOS1,RAS_2,positive,"TGEN, TM, TT",direct,1,
SOS1,RAS_3,positive,"TGEN, TM, TT",direct,1,
SRC,ABL1,positive,"TGEN, TM",direct,1,regulates
SRC,CASP8,negative,"TGEN, TM, TT",direct,1,regulates
SRC,CTNNB1,positive,"TGEN, TM",direct,1,regulates
SRC,GRB2,positive,"TGEN, TM, TT",direct,1,regulates
SRC,IGF1R,positive,"TGEN, TM",direct,1,regulates
SRC,IGF1R_2,positive,"TGEN, TM",direct,1,
SRC,PAK2,positive,"TGEN, TM, TT",indirect,2,
SRC,PTEN,negative,"TGEN, TM, TT",indirect,2,
SRC,PTEN_2,negative,"TGEN, TM, TT",indirect,2,
SRC,STAT1,positive,"TGEN, TM, TT",direct,1,regulates
SRC,STAT3,positive,"TGEN, TM, TT",direct,1,regulates
SRC,STAT5,positive,"TGEN, TM",direct,1,regulates
STAT1,GATA3,negative,"TGEN, TM, TT",direct in the network sense,1,regulates
STAT3,IL6R,positive,TT,direct,1,regulates
STAT3,MYC,positive,"TGEN, TM, TT",direct,1,regulates
STAT3,MYC_2,positive,"TGEN, TM, TT",direct,1,
STAT5,IL8,positive,"TGEN, TM, TT",direct,1,regulates
STAT5,PIM,positive,"TGEN, TM",direct,1,regulates
STK11,PRKAA2,positive,"TGEN, TM, TT",direct,1,regulates
TCF7L2,CYCLINDc,positive,"TGEN, TM, TT",indirect,2,
TCF7L2,CYCLINDc_2,positive,"TGEN, TM, TT",indirect,2,
TCF7L2,PAK1,positive,"TGEN, TM, TT",assumption,4,
TEAD1,CYCLINDc,positive,"TGEN, TM, TT",indirect,2,
TEAD1,CYCLINDc_2,positive,"TGEN, TM, TT",indirect,2,
TRADD,FADD,positive,"TGEN, TM, TT",direct,1,regulates
TSC2,RHEB,negative,"TGEN, TM, TT",direct,1,regulates
TSC2,S6K,negative,"BL, HL, SL",indirect,2,
TSC2,mTORC1,negative,"Z17, Z21",indirect,2,
TWIST1,NF1,negative,"TGEN, TM, TT",assumption,4,
Trametinib,MEK,negative,"Z17, Z21",direct,1,regulates
Trametinib,MEK_2,negative,"Z17, Z21",direct,1,
Translation,MCL1,positive,Z17,direct,1,regulates
Translation,MYC_targets,positive,Z21,direct,1,regulates
Translation,MYC_targets_2,positive,Z21,direct,1,
WNT1,CTNNB1,positive,"TGEN, TM, TT",indirect,2,
WNT1,PRKACA,positive,"TGEN, TM, TT",assumption,4,
YAP1,CTNNB1,positive,"TGEN, TM",correlation,3,
YAP1,TEAD1,positive,"TGEN, TM, TT",direct,1,regulates
cycE_CDK2,pRB,positive,Z17,direct,1,regulates
cycE_CDK2,pRB_2,positive,"Z17, Z21",direct,1,
cycE_CDK2,pRB_3,positive,"Z17, Z21",direct,1,
cycE_CDK2_T,cycE_CDK2,positive,"Z17, Z21",direct,1,necessary
erlotinib,EGFR,negative,"BL, BS, HL, HS, SL, SS",direct,1,regulates
erlotinib,HER2,negative,"BL, BS, HL, HS, SL, SS",direct,1,regulates
erlotinib,HER3,negative,"BL, BS, HL, HS, SL, SS",indirect,2,
erlotinib,HER3_2,negative,"BL, BS, HL, HS, SL, SS",indirect,2,
mTORC1,EIF4,positive,"Z17, Z21",indirect,2,
mTORC1,EIF4EBP1,negative,"TGEN, TM, TT",direct,1,regulates
mTORC1,S6K,positive,"BS, HS, SS, TGEN, TM, TT, Z17, Z21",direct,1,regulates
mTORC2_ic,SGK1,positive,"TGEN, TM, TT, Z17, Z21",direct,1,necessary
mTORC2_pm,AKT,positive,"TGEN, TM, TT, Z17, Z21",direct,1,regulates
p21,p21_p27,positive,merge,,0,regulates
p21_T,p21,positive,merge,direct,1,regulates
p21_T,p21_T_2,positive,Z21,,0,necessary
p21_T,p21_p27_T,positive,Z21,,0,regulates
p21_T_2,p21_p27_T,positive,Z21,,0,
p21_p27,cycE_CDK2,negative,"Z17, Z21",direct,1,regulates
p21_p27_T,p21_p27,positive,"Z17, Z21",direct,1,regulates
p27_T,p21_p27_T,positive,Z21,,0,regulates
p38,p38,positive,"BL, HL, SL",assumption,4,
p38,p53,positive,"BL, HL",direct,1,regulates
p53,BAK1,positive,"TGEN, TM, TT",direct,1,regulates
p53,BAX,positive,"TGEN, TM, TT",direct,1,regulates
p53,CyclinB1,negative,"BL, HL, SL",direct,1,regulates
p53,FAS,positive,"TGEN, TM, TT",direct,1,regulates
p53,FASLG,positive,"TGEN, TM, TT",indirect,2,
p53,GSK3B,positive,"BL, HL, SL",direct,1,regulates
p53,MDM2,positive,"TGEN, TM, TT",direct,1,regulates
p53,NF1,positive,"TGEN, TM",indirect,2,
p53,RB,positive,HL,indirect,2,
p53,p53,positive,"BL, HL, SL",direct,1,regulates
pRB,E2F,positive,"Z17, Z21",indirect,2,
pRB,RB,negative,merge,,0,regulates
pRB,pRB_2,positive,"Z17, Z21",,0,necessary
pRB_2,E2F_2,positive,"Z17, Z21",indirect,2,
pRB_2,E2F_3,positive,"Z17, Z21",indirect,2,
pRB_2,pRB_3,positive,Z17,,0,necessary
pRB_3,E2F_2,positive,Z21,indirect,2,
pRB_3,E2F_3,positive,"Z17, Z21",indirect,2,
pertuzumab,EGFR,negative,"BL, BS, HL, HS, SL, SS",indirect,2,
pertuzumab,ERK,positive,BS,indirect,2,
pertuzumab,ERK_2,positive,BS,indirect,2,
pertuzumab,HER2,negative,"BL, BS, HL, HS, SL, SS",direct,1,regulates
pertuzumab,HER2HER3c,negative,"BL, BS, HL, HS, SL, SS",direct,1,regulates
pertuzumab,HER2HER3c_2,negative,"BL, BS, HL, HS, SL, SS",direct,1,
pertuzumab,mTORC1,positive,BS,indirect,2,
stimulus,AKT,positive,SL,correlation,3,
stimulus,EGFR,positive,"BL, HL, SL",correlation,3,
stimulus,HER2,positive,"BL, HL, SL",correlation,3,
stimulus,HER3,positive,"BL, HL, SL",correlation,3,
stimulus,HER3_2,positive,"BL, HL, SL",correlation,3,
stimulus,p53,positive,BL,assumption,4,
trastuzumab,HER2,negative,"BL, BS, HL, HS, SL, SS",direct,1,regulates
