Regulator,Target,Sign in BBM,Model,Sign,Classification,Confidence rank,Constraint,Notes
AKT,GSK3B,ambiguous,MCF7,negative,direct,1,regulates,"AKT directly phosphorylates GSK3β at Ser9, which inhibits GSK3β kinase activity."
AKT,GSK3B,ambiguous,T47D,negative ,direct,1,regulates,"AKT directly phosphorylates GSK3β at Ser9, which inhibits GSK3β kinase activity."
AKT,HER3,negative,SL,negative ,correlation,3,,This proteomics- inferred edge is supported as an indirect effect via FOXO3
AKT,KMT2D,ambiguous,Z17,negative ,direct,1,regulates,AKT phosphorylates KMT2D at Ser1331; this reduces KMT2D chromatin recruitment/function and consequently suppresses KMT2D-dependent ER transcriptional activity.
AKT,KMT2D,negative,Z21,negative ,direct,1,regulates,AKT phosphorylates KMT2D at Ser1331; this reduces KMT2D chromatin recruitment/function and consequently suppresses KMT2D-dependent ER transcriptional activity.
AKT,KMT2D,ambiguous,TGEN,negative,direct,1,regulates,AKT phosphorylates KMT2D at Ser1331; this reduces KMT2D chromatin recruitment/function and consequently suppresses KMT2D-dependent ER transcriptional activity.
AKT,KMT2D,ambiguous,MCF7,negative ,direct,1,regulates,AKT phosphorylates KMT2D at Ser1331; this reduces KMT2D chromatin recruitment/function and consequently suppresses KMT2D-dependent ER transcriptional activity.
AKT,KMT2D,ambiguous,T47D,negative ,direct,1,regulates,AKT phosphorylates KMT2D at Ser1331; this reduces KMT2D chromatin recruitment/function and consequently suppresses KMT2D-dependent ER transcriptional activity.
AKT,LCK,ambiguous,TGEN,negative,unsupported,,,"This edge is not supported by evidence; the opposite direction, from LCK to AKT is supported."
AKT,LCK,ambiguous,MCF7,negative,unsupported,,,
AKT,LCK,ambiguous,T47D,negative,unsupported,,,
AKT,MDM2,ambiguous,TGEN,positive,,,,
AKT,MDM2,ambiguous,MCF7,,,,,
AKT,MDM2,ambiguous,T47D,,,,,
AKT,mTORC1,positive,BS,positive,indirect,2,,"causal effect mediated by PRAS40, TSC2"
AKT,mTORC1,positive,HS,positive,indirect,2,,"causal effect mediated by PRAS40, TSC2"
AKT,mTORC1,positive,SS,positive,indirect,2,,"causal effect mediated by PRAS40, TSC2"
AKT,NOS3,ambiguous,TGEN,positive,,,,
AKT,NOS3,ambiguous,MCF7,,,,,
AKT,NOS3,ambiguous,T47D,,,,,
AKT,p21,ambiguous,TGEN,negative,,,,"AKT phosphorylates p21 (CDKN1A), which causes p21 to be retained/relocalized to the cytoplasm, reducing its nuclear inhibition of cyclin–CDK complexes."
AKT,p21,ambiguous,MCF7,negative,direct,1,regulates,"AKT phosphorylates p21 (CDKN1A), which causes p21 to be retained/relocalized to the cytoplasm, reducing its nuclear inhibition of cyclin–CDK complexes."
AKT,p21,ambiguous,T47D,negative,direct,1,regulates,"AKT phosphorylates p21 (CDKN1A), which causes p21 to be retained/relocalized to the cytoplasm, reducing its nuclear inhibition of cyclin–CDK complexes."
AKT,p21_p27,ambiguous,Z17,negative,direct,1,regulates,The p21_p27 node unites p21 and p27. AKT phosphorylates and inhibits both p21 and p27. This inhibition can be interpreted as a direct inhibition of the p21_p27 node.
AKT,p21_p27,negative,Z21,negative,direct,1,regulates,The p21_p27 node unites p21 and p27. AKT phosphorylates and inhibits both p21 and p27. This inhibition can be interpreted as a direct inhibition of the p21_p27 node.
AKT,p38,positive,BL,positive,correlation,3,,This observed correlation is consistent with crosstalk between the Pi3K/AKT and p38 MAPK pathway.
AKT,p38,positive,HL,positive,correlation,3,,This observed correlation is consistent with crosstalk between the Pi3K/AKT and p38 MAPK pathway.
AKT,p38,positive,SL,positive,correlation,3,,This observed correlation is consistent with crosstalk between the Pi3K/AKT and p38 MAPK pathway.
AKT,PRAS40,negative,BL,,,,,
AKT,PRAS40,negative,HL,,,,,
AKT,PRAS40,negative,SL,,,,,
AKT,PRAS40,ambiguous,Z17,,,,,
AKT,PRAS40,negative,Z21,,,,,
AKT,PRKACA,ambiguous,TGEN,positive,,,,
AKT,PRKACA,ambiguous,MCF7,,,,,
AKT,PRKACA,ambiguous,T47D,,,,,
AKT,RAC1,ambiguous,TGEN,negative,,,,
AKT,RAC1,ambiguous,MCF7,,,,,
AKT,RAC1,ambiguous,T47D,,,,,
AKT,S6K,positive,BS,positive,indirect,2,,this causal effect is mediated by mTORC1
AKT,S6K,positive,HS,positive,indirect,2,,this causal effect is mediated by mTORC1
AKT,S6K,positive,SS,positive,indirect,2,,this causal effect is mediated by mTORC1
AKT,TSC2,negative,BL,negative ,direct,1,,"AKT phosphorylates TSC2 (tuberin) at multiple sites, inhibiting the TSC1–TSC2 complex's GAP activity."
AKT,TSC2,negative,HL,negative,direct,1,,"AKT phosphorylates TSC2 (tuberin) at multiple sites, inhibiting the TSC1–TSC2 complex's GAP activity."
AKT,TSC2,negative,SL,negative ,direct,1,,"AKT phosphorylates TSC2 (tuberin) at multiple sites, inhibiting the TSC1–TSC2 complex's GAP activity."
AKT,TSC2,ambiguous,Z17,negative ,direct,1,,"AKT phosphorylates TSC2 (tuberin) at multiple sites, inhibiting the TSC1–TSC2 complex's GAP activity."
AKT,TSC2,negative,Z21,negative ,direct,1,,"AKT phosphorylates TSC2 (tuberin) at multiple sites, inhibiting the TSC1–TSC2 complex's GAP activity."
AKT,TSC2,ambiguous,TGEN,negative,direct,1,,"AKT phosphorylates TSC2 (tuberin) at multiple sites, inhibiting the TSC1–TSC2 complex's GAP activity."
AKT,TSC2,ambiguous,MCF7,negative,direct,1,,"AKT phosphorylates TSC2 (tuberin) at multiple sites, inhibiting the TSC1–TSC2 complex's GAP activity."
AKT,TSC2,ambiguous,T47D,negative,direct,1,,"AKT phosphorylates TSC2 (tuberin) at multiple sites, inhibiting the TSC1–TSC2 complex's GAP activity."
AKT,TWIST1,ambiguous,TGEN,positive,direct,1,,"AKT phosphorylates TSC2 (tuberin) at multiple sites, inhibiting the TSC1–TSC2 complex's GAP activity."
AKT,TWIST1,ambiguous,MCF7,,,,,
Alpelisib,PI3K,ambiguous,Z17,,,,,
Alpelisib,PI3K,negative,Z21,,,,,
Alpelisib,PI3K_2,ambiguous,Z17,,,,,
Alpelisib,PI3K_2,negative,Z21,,,,,
APC,DC,ambiguous,TGEN,positive,,,,
APC,DC,ambiguous,MCF7,,,,,
APC,DC,ambiguous,T47D,,,,,
Apoptosis,Apoptosis,ambiguous,Z17,positive,assumption,4,,This assumed self-regulation reflects the irreversible nature of the commitment to apoptosis.
Apoptosis,Apoptosis,positive,Z21,positive,assumption,4,,This assumed self-regulation reflects the irreversible nature of the commitment to apoptosis.
Apoptosis_2,Apoptosis_2,ambiguous,Z17,positive,assumption,4,,This assumed self-regulation reflects the irreversible nature of the commitment to apoptosis.
Apoptosis_2,Apoptosis_2,positive,Z21,positive,assumption,4,,This assumed self-regulation reflects the irreversible nature of the commitment to apoptosis.
Apoptosis_3,Apoptosis_3,ambiguous,Z17,positive,assumption,4,,This assumed self-regulation reflects the irreversible nature of the commitment to apoptosis.
Apoptosis_3,Apoptosis_3,positive,Z21,positive,assumption,4,,This assumed self-regulation reflects the irreversible nature of the commitment to apoptosis.
AXIN1,APC,ambiguous,TGEN,,,,,
AXIN1,APC,ambiguous,MCF7,,,,,
AXIN1,APC,ambiguous,T47D,,,,,
BAD,Apoptosis,ambiguous,Z17,positive,indirect,2,,"causal effect mediated by CYCS, CASP9, CASP3"
BAD,Apoptosis,positive,Z21,positive,indirect,2,,"causal effect mediated by CYCS, CASP9, CASP3"
BAD,Apoptosis_2,ambiguous,Z17,positive,indirect,2,,"causal effect mediated by CYCS, CASP9, CASP3; we consider that the confidence ranking is the same as the BAD->Apoptosis edge."
BAD,Apoptosis_3,ambiguous,Z17,positive,indirect,2,,"causal effect mediated by CYCS, CASP9, CASP3; we consider that the confidence ranking is the same as the BAD->Apoptosis edge."
BAD,BCL2,ambiguous,TGEN,negative,direct,1,regulates,"BAD binds BCL-2 through its BH3 domain, occupying the hydrophobic groove of BCL-2. This binding neutralizes BCL-2's anti-apoptotic function."
BAD,BCL2,ambiguous,MCF7,negative,direct,1,regulates,"BAD binds BCL-2 through its BH3 domain, occupying the hydrophobic groove of BCL-2. This binding neutralizes BCL-2's anti-apoptotic function."
BAD,BCL2,ambiguous,T47D,negative,direct,1,regulates,"BAD binds BCL-2 through its BH3 domain, occupying the hydrophobic groove of BCL-2. This binding neutralizes BCL-2's anti-apoptotic function."
BAD,BCLXL,ambiguous,TGEN,negative,direct,1,regulates,"BAD binds BCL-XL through its BH3 domain, occupying the hydrophobic groove of BCL-XL. This binding neutralizes BCL-XL's anti-apoptotic function."
BAD,BCLXL,ambiguous,MCF7,negative,direct,1,regulates,"BAD binds BCL-XL through its BH3 domain, occupying the hydrophobic groove of BCL-XL. This binding neutralizes BCL-XL's anti-apoptotic function."
BAD,BCLXL,ambiguous,T47D,negative,direct,1,regulates,"BAD binds BCL-XL through its BH3 domain, occupying the hydrophobic groove of BCL-XL. This binding neutralizes BCL-XL's anti-apoptotic function."
BAK1,CYCS,ambiguous,TGEN,positive,direct in the network sense,1,regulates,Activated BAK oligomerizes in the mitochondrial outer membrane and helps form pores through which Cytochrome c (CYCS) is released from the mitochondrial intermembrane space into the cytosol.
BAK1,CYCS,ambiguous,MCF7,positive,direct in the network sense,1,regulates,Activated BAK oligomerizes in the mitochondrial outer membrane and helps form pores through which Cytochrome c (CYCS) is released from the mitochondrial intermembrane space into the cytosol.
BAK1,CYCS,ambiguous,T47D,positive,direct in the network sense,1,regulates,Activated BAK oligomerizes in the mitochondrial outer membrane and helps form pores through which Cytochrome c (CYCS) is released from the mitochondrial intermembrane space into the cytosol.
BAX,BAX,positive,SL,positive,direct,1,regulates,"Active BAX oligomerizes, and it also activates additional BAX molecules."
BAX,CYCS,ambiguous,TGEN,positive,direct in the network sense,1,regulates,Activated BAX oligomerizes in the mitochondrial outer membrane and helps form pores through which Cytochrome c (CYCS) is released from the mitochondrial intermembrane space into the cytosol.
BAX,CYCS,ambiguous,MCF7,positive,direct in the network sense,1,regulates,Activated BAX oligomerizes in the mitochondrial outer membrane and helps form pores through which Cytochrome c (CYCS) is released from the mitochondrial intermembrane space into the cytosol.
BAX,CYCS,ambiguous,T47D,positive,direct in the network sense,1,regulates,Activated BAX oligomerizes in the mitochondrial outer membrane and helps form pores through which Cytochrome c (CYCS) is released from the mitochondrial intermembrane space into the cytosol.
BAX,HER2,positive,SL,positive,unsupported,,,This inferred edge is not supported by evidence
BCL2,Apoptosis,ambiguous,Z17,negative ,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3"
BCL2,Apoptosis_2,ambiguous,Z17,negative,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3; we consider the same confidence ranking as that of BCL2->Apoptosis."
BCL2,Apoptosis_2,negative,Z21,negative,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3; we consider the same confidence ranking as that of BCL2->Apoptosis."
BCL2,Apoptosis_3,ambiguous,Z17,negative,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3; we consider the same confidence ranking as that of BCL2->Apoptosis."
BCL2,Apoptosis_3,negative,Z21,negative,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3; we consider the same confidence ranking as that of BCL2->Apoptosis."
BCL2,BIM,ambiguous,TGEN,negative,direct,1,regulates,"BCL2 directly binds the BH3 domain of BIM, sequestering BIM and preventing it from activating BAX/BAK."
BCL2,BIM,ambiguous,MCF7,negative,direct,1,regulates,"BCL2 directly binds the BH3 domain of BIM, sequestering BIM and preventing it from activating BAX/BAK."
BCL2,BIM,ambiguous,T47D,negative,direct,1,regulates,"BCL2 directly binds the BH3 domain of BIM, sequestering BIM and preventing it from activating BAX/BAK."
BCL2_T,BCL2,ambiguous,Z17,positive,direct,1,necessary,protein translation
BCL2_T,BCL2,positive,Z21,positive,direct,1,necessary,protein translation
BCLXL,Apoptosis_2,negative,Z21,negative ,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3"
BCLXL,Apoptosis_3,negative,Z21,negative ,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3"
BCLXL,BIM,ambiguous,TGEN,negative,direct,1,regulates,"BCL-XL (BCL2L1) directly binds BIM through BIM's BH3 domain, sequestering BIM and preventing it from activating BAX/BAK."
BCLXL,BIM,ambiguous,MCF7,negative,direct,1,regulates,"BCL-XL (BCL2L1) directly binds BIM through BIM's BH3 domain, sequestering BIM and preventing it from activating BAX/BAK."
BCLXL,BIM,ambiguous,T47D,negative,direct,1,regulates,"BCL-XL (BCL2L1) directly binds BIM through BIM's BH3 domain, sequestering BIM and preventing it from activating BAX/BAK."
BCLXL,CASP9,ambiguous,TGEN,negative,direct in the network sense,1,regulates,"This edge is mediated by the inhibition of mitochondrial cytochrome-c release and apoptosome formation, neither of which is in the network"
BCLXL,CASP9,ambiguous,MCF7,negative,direct in the network sense,1,regulates,"This edge is mediated by the inhibition of mitochondrial cytochrome-c release and apoptosome formation, neither of which is in the network"
BCLXL_T,BCLXL,positive,Z21,positive,direct,1,necessary,protein translation
BID,BAK1,ambiguous,TGEN,positive,direct,1,regulates,"The active form tBID (generated by caspase-8 cleavage of BID) directly engages BAK, promoting the conformational changes and oligomerization that lead to mitochondrial outer-membrane permeabilization (MOMP)."
BID,BAK1,ambiguous,MCF7,positive,direct,1,regulates,"The active form tBID (generated by caspase-8 cleavage of BID) directly engages BAK, promoting the conformational changes and oligomerization that lead to mitochondrial outer-membrane permeabilization (MOMP)."
BID,BAK1,ambiguous,T47D,positive,direct,1,regulates,"The active form tBID (generated by caspase-8 cleavage of BID) directly engages BAK, promoting the conformational changes and oligomerization that lead to mitochondrial outer-membrane permeabilization (MOMP)."
BID,BAX,ambiguous,TGEN,positive,direct,1,regulates,"The active form tBID directly binds BAX and induces the conformational changes that activate BAX, leading to its mitochondrial membrane insertion and oligomerization."
BID,BAX,ambiguous,MCF7,positive,direct,1,regulates,"The active form tBID directly binds BAX and induces the conformational changes that activate BAX, leading to its mitochondrial membrane insertion and oligomerization."
BID,BAX,ambiguous,T47D,positive,direct,1,regulates,"The active form tBID directly binds BAX and induces the conformational changes that activate BAX, leading to its mitochondrial membrane insertion and oligomerization."
BIM,Apoptosis,ambiguous,Z17,positive,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3"
BIM,Apoptosis,positive,Z21,positive,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3"
BIM,Apoptosis_2,ambiguous,Z17,positive,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3; we consider the same confidence ranking as that of BIM->Apoptosis."
BIM,Apoptosis_3,ambiguous,Z17,positive,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3; we consider the same confidence ranking as that of BIM->Apoptosis."
BIM,Apoptosis_3,positive,Z21,positive,indirect,2,,"causal effect mediated by BAK/BAX, CYCS, CASP9, CASP3; we consider the same confidence ranking as that of BIM->Apoptosis."
BIM,BAK1,ambiguous,TGEN,positive,direct,1,regulates,"BIM's BH3 domain can directly engage BAK, causing the conformational changes that lead to BAK oligomerization and mitochondrial outer-membrane permeabilization."
BIM,BAK1,ambiguous,MCF7,positive,direct,1,regulates,"BIM's BH3 domain can directly engage BAK, causing the conformational changes that lead to BAK oligomerization and mitochondrial outer-membrane permeabilization."
BIM,BAK1,ambiguous,T47D,positive,direct,1,regulates,"BIM's BH3 domain can directly engage BAK, causing the conformational changes that lead to BAK oligomerization and mitochondrial outer-membrane permeabilization."
BIM,BAX,ambiguous,TGEN,positive,direct,1,regulates,"BIM's BH3 domain physically binds BAX, inducing conformational changes that promote BAX membrane insertion and oligomerization, leading to mitochondrial outer-membrane permeabilization."
BIM,BAX,ambiguous,MCF7,positive,direct,1,regulates,"BIM's BH3 domain physically binds BAX, inducing conformational changes that promote BAX membrane insertion and oligomerization, leading to mitochondrial outer-membrane permeabilization."
BIM,BAX,ambiguous,T47D,positive,direct,1,regulates,"BIM's BH3 domain physically binds BAX, inducing conformational changes that promote BAX membrane insertion and oligomerization, leading to mitochondrial outer-membrane permeabilization."
BIM,BCL2,ambiguous,TGEN,negative,direct,1,regulates,"BIM binds BCL-2 through its BH3 domain, occupying the hydrophobic groove of BCL-2. This binding neutralizes BCL-2's anti-apoptotic function."
BIM,BCL2,ambiguous,MCF7,negative,direct,1,regulates,"BIM binds BCL-2 through its BH3 domain, occupying the hydrophobic groove of BCL-2. This binding neutralizes BCL-2's anti-apoptotic function."
BIM,BCL2,ambiguous,T47D,negative,direct,1,regulates,"BIM binds BCL-2 through its BH3 domain, occupying the hydrophobic groove of BCL-2. This binding neutralizes BCL-2's anti-apoptotic function."
BIM,BCLXL,ambiguous,TGEN,negative,direct,1,regulates,BIM directly binds the hydrophobic BH3-binding groove of BCL-XL (BCL2L1) through BIM's BH3 domain. This binding neutralizes BCL-XL's anti-apoptotic function.
BIM,BCLXL,ambiguous,MCF7,negative ,direct,1,regulates,BIM directly binds the hydrophobic BH3-binding groove of BCL-XL (BCL2L1) through BIM's BH3 domain. This binding neutralizes BCL-XL's anti-apoptotic function.
BIM,BCLXL,ambiguous,T47D,negative ,direct,1,regulates,BIM directly binds the hydrophobic BH3-binding groove of BCL-XL (BCL2L1) through BIM's BH3 domain. This binding neutralizes BCL-XL's anti-apoptotic function.
BIM_T,BIM,ambiguous,Z17,positive,direct,1,protein translation,
BIM_T,BIM,positive,Z21,positive,direct,1,protein translation,
CASP3,CASP9,ambiguous,TGEN,positive,direct in the network sense,1,regulates,"The mechanism includes Caspase-3 cleaving caspase-9 and the inhibition of XIAP, which is not in the network"
CASP3,CASP9,ambiguous,MCF7,positive,direct in the network sense,1,regulates,"The mechanism includes Caspase-3 cleaving caspase-9 and the inhibition of XIAP, which is not in the network"
CASP3,CASP9,ambiguous,T47D,positive,direct in the network sense,1,regulates,"The mechanism includes Caspase-3 cleaving caspase-9 and the inhibition of XIAP, which is not in the network"
CASP3,CDKN2A,ambiguous,TGEN,positive,unsupported,,,This assumed edge is not supported by evidence.
CASP3,CDKN2A,ambiguous,MCF7,positive,unsupported,,,This assumed edge is not supported by evidence.
CASP3,CDKN2A,ambiguous,T47D,positive,unsupported,,,This assumed edge is not supported by evidence.
CASP3,HES1,ambiguous,TGEN,negative,unsupported,,,This edge is not supported by evidence.
CASP8,BID,ambiguous,TGEN,positive,direct,1,regulates,"Active caspase-8 directly cleaves BID, generating truncated BID (tBID). tBID translocates to mitochondria and activates the mitochondrial apoptosis pathway, including BAX/BAK activation."
CASP8,BID,ambiguous,MCF7,positive,direct,1,regulates,"Active caspase-8 directly cleaves BID, generating truncated BID (tBID). tBID translocates to mitochondria and activates the mitochondrial apoptosis pathway, including BAX/BAK activation."
CASP8,BID,ambiguous,T47D,positive,direct,1,regulates,"Active caspase-8 directly cleaves BID, generating truncated BID (tBID). tBID translocates to mitochondria and activates the mitochondrial apoptosis pathway, including BAX/BAK activation."
CASP8,CASP3,ambiguous,T47D,positive,direct,1,regulates,Active caspase-8 directly cleaves and activates procaspase-3
CASP8,CASP9,ambiguous,TGEN,positive,indirect,2,,"causal effect mediated by BID, BAX and others"
CASP8,CASP9,ambiguous,MCF7,positive,indirect,2,,"causal effect mediated by BID, BAX and others"
CASP8,CASP9,ambiguous,T47D,positive,indirect,2,,"causal effect mediated by BID, BAX and others"
CASP9,CASP3,ambiguous,TGEN,positive,direct,1,regulates,"Active caspase-9 directly cleaves procaspase-3 at its activating processing sites, generating active caspase-3"
CASP9,CASP3,ambiguous,MCF7,positive,direct,1,regulates,"Active caspase-9 directly cleaves procaspase-3 at its activating processing sites, generating active caspase-3"
CASP9,CASP3,ambiguous,T47D,positive,direct,1,regulates,"Active caspase-9 directly cleaves procaspase-3 at its activating processing sites, generating active caspase-3"
CDK46,CYCLINDc,ambiguous,Z17,positive,,0,necessary,CDK4 or CDK6 (denoted CDK46) make up one component of the cyclin-CDK complex CYCLINDc
CDK46,CYCLINDc,positive,Z21,positive,,0,necessary,CDK4 or CDK6 (denoted CDK46) make up one component of the cyclin-CDK complex CYCLINDc.
CDK46,CYCLINDc_2,ambiguous,Z17,positive,,0,necessary,CDK4 or CDK6 (denoted CDK46) make up one component of the cyclin-CDK complex CYCLINDc. We consider that the same confidence ranking applies as that of the CDK46->CYCLINDc edge.
CDK46,CYCLINDc_2,positive,Z21,positive,,0,necessary,CDK4 or CDK6 (denoted CDK46) make up one component of the cyclin-CDK complex CYCLINDc. We consider that the same confidence ranking applies as that of the CDK46->CYCLINDc edge.
CDKN2A,CYCLINDc,ambiguous,TGEN,negative,,1,regulates,CDKN2A (p16INK4A)  binds CDK4 and CDK6 and prevents/antagonizes formation of functional Cyclin D–CDK4/6 complexes.
CDKN2A,CYCLINDc,ambiguous,MCF7,negative,,1,regulates,CDKN2A (p16INK4A)  binds CDK4 and CDK6 and prevents/antagonizes formation of functional Cyclin D–CDK4/6 complexes.
CDKN2A,CYCLINDc,ambiguous,T47D,negative,,1,regulates,CDKN2A (p16INK4A)  binds CDK4 and CDK6 and prevents/antagonizes formation of functional Cyclin D–CDK4/6 complexes.
CEBPB,PPARG,ambiguous,TGEN,positive,,,,
CEBPB,PPARG,ambiguous,MCF7,,,,,
CEBPB,PPARG,ambiguous,T47D,,,,,
CREB1,BCL2,ambiguous,TGEN,positive,direct,1,regulates,regulation of transcription. CREB/CREB1 directly binds a cAMP-response element (CRE) in the BCL2 promoter and stimulates BCL2 transcription.
